0,timeStamp,rawAltitude,filteredAltitude,speed,message,
1,66162,-0.1,-0.18,0.03,,
1,66262,0,-0.2,0.03,,
1,66362,-0.1,-0.19,0.01,,
1,66462,-0.59,-0.18,0,,
1,66562,-0.59,-0.18,0.01,,
1,66662,-0.3,-0.18,0,,
1,66762,-0.2,-0.21,0.01,,
1,66862,0,-0.24,0.02,,
1,66962,-0.5,-0.27,0.03,,
1,67062,-0.3,-0.29,0.03,,
1,67162,-0.2,-0.3,0.02,,
1,67262,0,-0.3,0.01,,
1,67362,-0.2,-0.29,0,,
1,67462,-0.79,-0.28,0.01,,
1,67562,-0.89,-0.28,0.01,,
1,67662,-0.1,-0.29,0,,
1,67762,-0.79,-0.33,0.02,,
1,67862,-0.89,-0.39,0.04,,
1,67962,-0.4,-0.46,0.05,,
